Nutrient,FeatureSet,Filter,R2,RMSE,MAE,SMAPE
Calcium(mg),ing_pred,strict,-0.8222,94.2112,54.2343,144.2943
Calcium(mg),nut8,all,0.9999,1.0625,0.2435,79.7966
Calcium(mg),nut8,strict,0.9987,3.9259,0.4238,76.1795
Calcium(mg),nut8+binary,all,0.8467,41.1894,26.316,104.4176
Calcium(mg),nut8+binary,strict,0.7746,51.8919,30.3432,104.3573
Calcium(mg),nut8+score,all,0.8505,40.6864,26.5201,104.2641
Calcium(mg),nut8+score,strict,0.78,51.2608,30.2002,103.9451
Calcium(mg),nut8+umap_10,all,0.888,35.2138,22.4187,102.1671
Calcium(mg),nut8+umap_10,strict,0.8152,46.9813,27.0745,102.9471
Carbohydrate(g),ing_pred,strict,-13.8812,35.52,30.7686,80.0499
Cholesterol(mg),ing_pred,strict,-2.8952,5.0771,1.7256,37.3264
Energy(kcal),ing_pred,strict,-11.6734,211.1244,182.4489,47.4101
Fiber(g),ing_pred,strict,-1.431,3.8531,3.1465,110.0565
Fiber(g),nut8,all,1.0,0.0033,0.0003,10.2522
Fiber(g),nut8,strict,1.0,0.0167,0.0008,10.05
Fiber(g),nut8+binary,all,0.7503,1.6995,0.9621,25.423
Fiber(g),nut8+binary,strict,0.683,1.899,1.0964,26.7055
Fiber(g),nut8+score,all,0.749,1.704,0.9822,25.5992
Fiber(g),nut8+score,strict,0.678,1.9138,1.099,26.5315
Fiber(g),nut8+umap_10,all,0.8188,1.4478,0.8631,24.289
Fiber(g),nut8+umap_10,strict,0.7277,1.7601,1.0003,25.6644
Iron(mg),ing_pred,strict,-1.185,2.3555,1.5433,108.3733
Iron(mg),nut8,all,0.9999,0.0171,0.0049,40.7022
Iron(mg),nut8,strict,0.992,0.1687,0.0133,43.4547
Iron(mg),nut8+binary,all,0.7465,0.9579,0.6413,60.9444
Iron(mg),nut8+binary,strict,0.6386,1.1344,0.6933,64.5803
Iron(mg),nut8+score,all,0.7409,0.9685,0.6502,61.001
Iron(mg),nut8+score,strict,0.6287,1.1498,0.7093,64.8802
Iron(mg),nut8+umap_10,all,0.8106,0.828,0.5613,59.5102
Iron(mg),nut8+umap_10,strict,0.6739,1.0776,0.647,64.6777
Protein(g),ing_pred,strict,-1.5995,5.1445,4.2116,89.8278
Saturated fatty acids(g),ing_pred,strict,-0.4682,4.0922,2.6512,87.9965
Sodium(mg),ing_pred,strict,-137.8371,4100.6436,2029.9531,134.5357
Total fat(g),ing_pred,strict,-1.7659,16.177,13.4336,73.983
Total sugar(g),ing_pred,strict,-3.3479,12.9981,9.3,147.4891
