ing,Energy,Water,Total_lipid,Protein,Carbohydrate,Sugars,Fiber,Calcium,Iron,Sodium,Potassium,Zinc,Vitamin_A_RAE,Vitamin_D,Vitamin_E_alpha_tocopherol,Vitamin_C_total_ascorbic_acid,Thiamin,Niacin,Riboflavin,Cholesterol,Fatty_acids_total_saturated,Fatty_acids_total_trans,Fatty_acids_total_polyunsaturated
"OIL, VEGETABLE",884.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,14.99,0.0,0.0,0.0,0.0,0.0,10.88,0.72,37.22
SODIUM CHLORIDE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POTATO,130.73,69.56,3.42,2.6,22.98,0.97,2.48,22.02,1.15,187.15,405.16,0.36,51.58,0.68,0.19,10.88,0.1,1.66,0.05,2.22,1.08,0.05,0.5
SUCROSE,385.33,0.53,0.0,0.04,99.28,98.21,0.0,28.33,0.27,10.33,45.67,0.02,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.0,0.0,0.0,0.0
FLAVOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEA SALT,0.0,4.0,0.0,0.0,0.0,0.0,0.0,51.0,3.0,33800.0,56.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ONION, DRIED",340.0,5.9,1.0,11.7,78.0,0.0,0.0,36.0,1.9,7.0,1726.0,0.0,0.0,0.0,0.0,32.0,0.31,1.1,0.26,0.0,0.0,0.0,0.0
MALTODEXTRIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPICES,321.43,8.58,11.85,13.55,58.48,4.05,25.86,885.52,28.92,140.5,1483.19,4.08,222.81,0.0,8.17,38.27,0.33,3.93,0.45,0.0,2.78,0.01,3.24
CITRIC ACID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"GARLIC, DRIED",333.0,6.0,0.7,16.3,73.3,0.0,0.0,18.0,6.5,7.0,1937.0,0.0,0.0,0.0,0.0,39.0,0.52,0.9,0.63,0.0,0.0,0.0,0.0
CORN,108.54,70.88,1.33,3.37,23.57,5.02,3.05,4.65,0.59,98.05,232.62,0.71,4.35,0.0,0.08,4.7,0.08,1.62,0.06,0.0,0.21,0.0,0.55
"OIL, SUNFLOWER",884.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,41.08,0.0,0.0,0.0,0.0,0.0,10.81,0.0,36.5
DEXTROSE,369.0,8.5,0.5,0.0,91.0,82.0,0.0,0.0,0.1,4.0,4.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
BAKERS YEAST EXTRACT,325.0,5.08,7.61,40.44,41.22,0.0,26.9,30.0,2.17,51.0,955.0,7.94,0.0,0.0,0.0,0.3,10.99,40.2,4.0,0.0,1.0,0.0,0.02
