Rank,Snack_Top200_Ing,Energy,Water,Protein,Total lipid (fat),"Carbohydrate, by difference","Sugars, total","Fiber, total dietary","Calcium, Ca","Iron, Fe","Potassium, K","Sodium, Na","Zinc, Zn","Vitamin A, RAE","Vitamin A, IU",Vitamin D,Vitamin E (alpha-tocopherol),"Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Cholesterol,"Fatty acids, total trans","Fatty acids, total saturated","Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated"
1,"OIL, VEGETABLE",884.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,14.99,0.0,0.0,0.0,0.0,0.0,0.7225,10.881,47.359,37.2155
2,SODIUM CHLORIDE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,POTATO,116.33783783783784,72.93175675675676,2.377297297297297,3.10162162162162,20.24324324324324,0.8272093023255814,2.189041095890412,21.7972972972973,0.9854054054054056,382.7837837837838,179.6216216216216,0.3462686567164178,56.130434782608695,11.45,0.746268656716418,0.2030555555555555,9.604054054054052,0.0848955223880597,0.0445223880597014,1.472611940298507,2.436619718309859,0.0534565217391304,1.0141780821917814,1.3128030303030307,0.4360606060606059
4,SUCROSE,385.3333333333333,0.53,0.04,0.0,99.28,98.21,0.0,28.33333333333333,0.2733333333333334,45.66666666666666,10.333333333333334,0.0166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0126666666666666,0.0366666666666666,0.0,0.0,0.0,0.0,0.0
6,SEA SALT,0.0,4.0,0.0,0.0,0.0,0.0,0.0,51.0,3.0,56.0,33800.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,"ONION, DRIED",340.0,5.9,11.7,1.0,78.0,0.0,0.0,36.0,1.9,1726.0,7.0,0.0,0.0,0.0,0.0,0.0,32.0,0.31,0.26,1.1,0.0,0.0,0.0,0.0,0.0
9,SPICES,321.42857142857144,8.58095238095238,13.54785714285714,11.848333333333336,58.47928571428571,4.046923076923076,25.85714285714286,885.5238095238095,28.923095238095225,1483.190476190476,140.5,4.077619047619048,222.8095238095238,4453.571428571428,0.0,8.171153846153844,38.269047619047626,0.3284047619047618,0.4511219512195121,3.928857142857143,0.0,0.0106896551724137,2.776142857142857,4.167589743589743,3.23848717948718
11,"GARLIC, DRIED",333.0,6.0,16.3,0.7,73.3,0.0,0.0,18.0,6.5,1937.0,7.0,0.0,0.0,0.0,0.0,0.0,39.0,0.52,0.63,0.9,0.0,0.0,0.0,0.0,0.0
12,CORN,83.08823529411765,76.4720588235294,2.66,0.831764705882353,19.28205882352941,4.352592592592593,2.1411764705882352,3.4705882352941178,0.4452941176470588,199.6764705882353,106.08823529411764,0.4967647058823528,4.090909090909091,81.96969696969697,0.0,0.0712,5.124242424242424,0.0739117647058823,0.0593235294117647,1.3286764705882357,0.0,0.0,0.1248823529411764,0.2217352941176471,0.3521176470588236
13,"OIL, SUNFLOWER",884.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,41.08,0.0,0.0,0.0,0.0,0.0,0.0,10.81475,48.69725,36.499500000000005
