Rank,ing,case,Energy,Water,Protein,Total lipid (fat),"Carbohydrate, by difference","Sugars, total","Fiber, total dietary","Calcium, Ca","Iron, Fe","Potassium, K","Sodium, Na","Zinc, Zn","Vitamin A, RAE","Vitamin A, IU",Vitamin D,Vitamin E (alpha-tocopherol),"Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Cholesterol,"Fatty acids, total trans","Fatty acids, total saturated","Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated"
1,"OIL, VEGETABLE",,884.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,14.99,0.0,0.0,0.0,0.0,0.0,0.7225,10.881,47.359,37.2155
2,SODIUM CHLORIDE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,POTATO,,73.75,80.09249999999999,1.94,0.1025,16.7925,0.97,1.875,11.0,0.73,426.0,11.25,0.3025,4.5,0.0,0.0,0.01,10.775,0.07875,0.0325,1.07775,0.0,0.0,0.028,0.00225,0.04675
4,SUCROSE,,388.0,0.125,0.0,0.0,99.875,98.805,0.0,1.0,0.055,2.0,1.5,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0
6,SEA SALT,,0.0,4.0,0.0,0.0,0.0,0.0,0.0,51.0,3.0,56.0,33800.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,"ONION, DRIED",,340.0,5.9,11.7,1.0,78.0,0.0,0.0,36.0,1.9,1726.0,7.0,0.0,0.0,0.0,0.0,0.0,32.0,0.31,0.26,1.1,0.0,0.0,0.0,0.0,0.0
11,"GARLIC, DRIED",,333.0,6.0,16.3,0.7,73.3,0.0,0.0,18.0,6.5,1937.0,7.0,0.0,0.0,0.0,0.0,0.0,39.0,0.52,0.63,0.9,0.0,0.0,0.0,0.0,0.0
12,CORN,,86.0,76.005,3.245,1.265,18.86,4.74,2.35,2.0,0.52,270.0,15.0,0.455,4.5,94.0,0.0,0.07,6.8,0.1775,0.0574999999999999,1.735,0.0,0.0,0.2535,0.3894999999999999,0.523
13,"OIL, SUNFLOWER",,884.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,41.08,0.0,0.0,0.0,0.0,0.0,0.219,9.009,57.334,28.962
14,DEXTROSE,,369.0,8.5,0.0,0.5,91.0,82.0,0.0,0.0,0.1,4.0,4.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
16,WHEY,,25.5,93.27,0.8049999999999999,0.2249999999999999,5.13,5.13,0.0,75.0,0.07,152.0,51.0,0.28,2.5,9.5,0.0,0.0,0.1,0.039,0.149,0.0765,1.5,0.0,0.1435,0.0625,0.0075
17,"TOMATO, DRIED",,258.0,14.56,14.11,2.97,55.76,37.59,12.3,110.0,9.09,3427.0,107.0,1.99,44.0,874.0,0.0,0.01,39.2,0.528,0.489,9.05,0.0,0.0,0.426,0.487,1.115
