fdc_id,brand_owner,market_country,branded_food_category,brand_name,ingredients,serving_size,serving_size_unit,description,publication_date,Calcium(mg),Carbohydrate(g),Cholesterol(mg),Energy(kcal),Saturated fatty acids(g),Trans fatty acids(g),Fiber(g),Iron(mg),"Potassium, K",Protein(g),Sodium(mg),Total sugar(g),Total fat(g),Vitamin A,"Vitamin A, IU","Vitamin A, RAE","Vitamin C, total ascorbic acid",umap_2,umap_5,umap_10,umap_20
379435,TRADER JOE'S,United States,"Chips, Pretzels & Snacks",,"UNBLEACHED ENRICHED WHEAT FLOUR (FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE B1, RIBOFLAVIN-B2, FOLIC ACID), ORGANIC SOYBEAN OIL, OAT BRAN, SESAME SEED, YELLOW CORN MEAL, BARLEY MALT, RYE, SALT, YEAST.",28.0,g,"TRADER JOE'S, MULTI- GRAIN PRETZEL NUGGETS WITH SESAME SEEDS",2019-04-01,0.0,82.14,0.0,393.0,0.0,0.0,3.6,3.86,,10.71,643.0,3.57,3.57,,0.0,,0.0,"[-0.7557120323181152, 13.510445594787598]","[6.645190238952637, 7.915974140167236, 3.7190213203430176, 7.1118316650390625, 6.979619979858398]","[4.7470269203186035, 7.745461940765381, 6.019571304321289, 3.841308116912842, 3.2658793926239014, 7.223156452178955, 3.1910409927368164, 7.104977607727051, 4.532132148742676, 9.226362228393555]","[10.390253067016602, 5.353830337524414, 5.606514930725098, 5.377859115600586, 5.189088821411133, 4.763772964477539, 4.919360160827637, 5.808757781982422, 6.049951553344727, 3.2973361015319824, 5.540380477905273, 4.098235607147217, 4.12276554107666, 4.875093460083008, 5.058861255645752, 3.8553662300109863, 3.7701163291931152, 0.8296981453895569, 8.072556495666504, 8.838357925415039]"
727348,DOT'S,United States,"Chips, Pretzels & Snacks",,"ENRICHED WHEAT FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), SALT, VEGETABLE OIL (MAY CONTAIN ONE OR MORE OF THE FOLLOWING: CORN, CANOLA, SOYBEAN), ARTIFICIAL BUTTER FLAVOR, CORN SYRUP, YEAST; CANOLA OIL; FLAVORING (MALTODEXTRIN, BUTTERMILK, SALT, MONOSODIUM GLUTAMATE, DRIED GARLIC, DRIED ONION LACTIC ACID, CALCIUM LACTATE, SPICES, CITRIC ACID, LESS THAN 1% OF CALCIUM STEARATE, ARTIFICIAL FLAVOR, XANTHAN GUM, CARBOXYMETHYLCELLULOSE, GUAR GUM, NATURAL FLAVOR [SOY]).",28.0,g,HOMESTYLE PRETZELS,2019-12-06,0.0,57.14,0.0,464.0,0.0,0.0,3.6,7.14,0.0,7.14,1357.0,0.0,21.43,,,,,"[5.684771537780762, 12.797554016113281]","[5.538018703460693, 7.126621246337891, 3.330061674118042, 8.399726867675781, 6.644643783569336]","[5.267024993896484, 7.59079122543335, 5.602566242218018, 3.3771722316741943, 3.9894144535064697, 6.532722473144531, 3.7881500720977783, 8.041693687438965, 4.652063369750977, 8.864802360534668]","[10.327471733093262, 5.386808395385742, 5.355042457580566, 5.379559516906738, 4.876331329345703, 4.875217437744141, 5.0675835609436035, 6.417558193206787, 6.103072166442871, 3.2584521770477295, 5.912623405456543, 5.120026588439941, 4.388805866241455, 4.691165924072266, 4.9513325691223145, 3.7072196006774902, 3.9913036823272705, 1.5294220447540283, 7.205172061920166, 8.894161224365234]"
695896,LIDL,United States,"Chips, Pretzels & Snacks",,"ENRICHED FLOUR (WHEAT FLOUR, NIACIN, FERROUS SULFATE, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), SALT, SUNFLOWER OR CANOLA OR RICE OIL, CORN SYRUP, MALT SYRUP, AND YEAST.",28.0,g,MINI PRETZELS,2019-12-06,0.0,82.14,0.0,393.0,0.0,0.0,3.6,3.57,0.0,10.71,1393.0,0.0,3.57,,,,,"[8.895777702331543, 13.081997871398926]","[9.957023620605469, 4.075233459472656, 7.717848777770996, 6.076383590698242, -0.3472665250301361]","[4.040079593658447, 6.95549201965332, 5.92718505859375, 2.594576120376587, 3.615884304046631, 7.0840020179748535, 2.458164691925049, 7.854947566986084, 4.3524980545043945, 11.158319473266602]","[11.282010078430176, 5.508122444152832, 5.685892105102539, 5.192553997039795, 5.3365607261657715, 4.56842565536499, 4.4938530921936035, 5.483709812164307, 6.026406288146973, 2.96260404586792, 5.359931468963623, 4.4003586769104, 4.982302188873291, 4.310412406921387, 5.075072288513184, 4.128358364105225, 3.141026258468628, 0.08044782280921936, 8.37764835357666, 10.567113876342773]"
742402,NOT A BRANDED ITEM,United States,"Chips, Pretzels & Snacks",,"ENRICHED FLOUR (WHEAT FLOUR, NIACIN, FERROUS SULFATE, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), SUNFLOWER OR CANOLA OR RICE OIL, SALT, CORN SYRUP, MALT SYRUP, AND LEAVENING (CONTAINS ONE OR MORE OF THE FOLLOWING: YEAST, SODIUM BICARBONATE).",28.0,g,PRETZEL STICKS,2019-12-06,0.0,78.57,0.0,393.0,0.0,0.0,3.6,3.57,0.0,10.71,1393.0,0.0,5.36,,,,,"[8.834867477416992, 13.233375549316406]","[10.023079872131348, 4.032696723937988, 7.64915132522583, 6.056135177612305, -0.31231650710105896]","[4.082834243774414, 7.01735258102417, 5.939305782318115, 2.6446282863616943, 3.618971586227417, 7.093166828155518, 2.49027419090271, 7.846382141113281, 4.389612674713135, 11.101240158081055]","[11.270885467529297, 5.538103103637695, 5.714456558227539, 5.22041130065918, 5.328426837921143, 4.548974514007568, 4.490135192871094, 5.471982479095459, 6.02469539642334, 2.9779202938079834, 5.3708648681640625, 4.424715995788574, 4.946896076202393, 4.343997955322266, 5.090211868286133, 4.104318141937256, 3.162144660949707, 0.08946839720010757, 8.363290786743164, 10.509260177612305]"
2427268,Learning Horizons,United States,"Chips, Pretzels & Snacks",LIDL,"WHEAT FLOUR, SALT, SUNFLOWER OR CANOLA OR RICE OIL, CORN SYRUP, MALT SYRUP, YEAST.",28.0,g,PRETZEL RODS,2022-12-22,0.0,78.57,0.0,393.0,0.0,0.0,3.6,0.0,0.0,10.71,1500.0,0.0,5.36,,,,,"[-0.26538529992103577, 15.073866844177246]","[6.401933193206787, 7.610665321350098, 4.053940773010254, 1.2791435718536377, 7.090061664581299]","[5.356196880340576, 8.66379451751709, 6.330041408538818, 4.727428436279297, 2.1460492610931396, 8.148971557617188, 2.9543819427490234, 6.093351364135742, 4.451236248016357, 7.631701469421387]","[9.165119171142578, 5.048537254333496, 5.52126407623291, 5.262088298797607, 5.178063869476318, 5.137271881103516, 5.359371185302734, 5.987417697906494, 6.304568767547607, 3.542104721069336, 6.055673599243164, 2.9183647632598877, 2.6359941959381104, 5.047280311584473, 5.173847198486328, 3.7732090950012207, 4.316379070281982, 1.086176872253418, 8.619892120361328, 7.163946151733398]"
2064567,"Giant Eagle, Inc.",United States,"Chips, Pretzels & Snacks",GIANT EAGLE,"ENRICHED WHEAT FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), SALT, CORN SYRUP, VEGETABLE OIL (MAY CONTAIN ONE OR MORE OF THE FOLLOWING: CORN, CANOLA, SOYBEAN), VITAL WHEAT GLUTEN, SODIUM BICARBONATE, YEAST.",28.0,g,THINS WINDOW PRETZELS,2021-10-28,0.0,82.14,0.0,393.0,0.0,0.0,3.6,6.43,,7.14,1214.0,3.57,3.57,,0.0,,0.0,"[8.493436813354492, 13.97933292388916]","[10.073792457580566, 3.5905110836029053, 7.033450603485107, 5.140412330627441, -0.10418464988470078]","[4.226558685302734, 7.585001468658447, 6.280411243438721, 2.914947032928467, 3.9020135402679443, 7.181979179382324, 2.7725279331207275, 7.413083076477051, 4.849442958831787, 11.195809364318848]","[11.123888969421387, 5.612560749053955, 5.893851280212402, 5.568892478942871, 5.1693830490112305, 4.452780246734619, 4.624006271362305, 5.160195350646973, 5.973404884338379, 3.316620349884033, 5.154802322387695, 4.309331893920898, 4.468494892120361, 4.800241947174072, 5.172320365905762, 4.148510456085205, 3.5860724449157715, 0.09387112408876419, 8.011845588684082, 10.20481014251709]"
2064576,"Giant Eagle, Inc.",United States,"Chips, Pretzels & Snacks",GIANT EAGLE,"ENRICHED WHEAT FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), SALT, CORN SYRUP, VEGETABLE OIL (MAY CONTAIN ONE OR MORE OF THE FOLLOWING: CORN, CANOLA, SOYBEAN), SODIUM BICARBONATE, YEAST.",28.0,g,MINIS PRETZEL,2021-10-28,0.0,82.14,0.0,393.0,0.0,0.0,3.6,6.43,,10.71,1250.0,3.57,3.57,,0.0,,0.0,"[8.529912948608398, 13.32641887664795]","[9.916083335876465, 4.0198235511779785, 7.417346954345703, 5.876834392547607, -0.15875767171382904]","[4.208127975463867, 7.211268424987793, 5.986504077911377, 2.757192850112915, 3.6808102130889893, 7.052467346191406, 2.669283151626587, 7.803843021392822, 4.5001420974731445, 10.908914566040039]","[11.119132041931152, 5.516761302947998, 5.675239086151123, 5.300755977630615, 5.231847286224365, 4.574456214904785, 4.589162349700928, 5.495410442352295, 6.036701202392578, 3.1058411598205566, 5.357681751251221, 4.408697128295898, 4.804032802581787, 4.484776973724365, 5.065239906311035, 4.097843647003174, 3.3466384410858154, 0.22156384587287903, 8.238197326660156, 10.335928916931152]"
2064572,"Giant Eagle, Inc.",United States,"Chips, Pretzels & Snacks",GIANT EAGLE,"ENRICHED WHEAT FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), SALT, CORN SYRUP, YEAST.",28.0,g,PRETZEL STICKS,2021-10-28,0.0,82.14,0.0,393.0,0.0,0.0,3.6,6.43,,7.14,1357.0,0.0,0.0,,0.0,,0.0,"[8.753564834594727, 13.01176929473877]","[9.983498573303223, 4.06096076965332, 7.840133190155029, 5.739676475524902, -0.2978391945362091]","[3.9395811557769775, 7.003659725189209, 6.017325401306152, 2.6212892532348633, 3.6610684394836426, 6.887438774108887, 2.635854721069336, 7.71028470993042, 4.362496852874756, 11.247635841369629]","[11.218565940856934, 5.413189888000488, 5.625126361846924, 5.22482967376709, 5.279694080352783, 4.6055426597595215, 4.56744909286499, 5.432859420776367, 6.042019367218018, 3.039422035217285, 5.301236629486084, 4.291247844696045, 5.015642166137695, 4.367391586303711, 5.012176036834717, 4.16364860534668, 3.2423505783081055, 0.09889408200979233, 8.366250991821289, 10.605331420898438]"
2093225,"Giant Eagle, Inc.",United States,"Chips, Pretzels & Snacks",GIANT EAGLE,"ENRICHED WHEAT FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), LESS THAN 2% OF: SALT, CORN SYRUP, LEAVENING (YEAST, SODIUM BICARBONATE, AND/OR AMMONIUM BICARBONATE), BARLEY MALT EXTRACT.",31.0,g,"PRETZEL, SOURDOUGH NUGGETS",2021-10-28,0.0,83.87,0.0,387.0,0.0,0.0,3.2,5.81,,9.68,742.0,0.0,0.0,,0.0,,0.0,"[6.045118808746338, -4.527043342590332]","[10.377435684204102, 4.040460109710693, 8.355949401855469, 5.145143985748291, -0.29515308141708374]","[3.5263397693634033, 7.0474019050598145, 6.225050449371338, 2.772096872329712, 3.6718857288360596, 6.511044025421143, 2.9188427925109863, 7.341067790985107, 4.432092189788818, 11.774605751037598]","[11.233640670776367, 5.263087749481201, 5.675167560577393, 5.398016929626465, 5.203993320465088, 4.629154205322266, 4.637406349182129, 5.008134365081787, 6.0781354904174805, 3.1379754543304443, 5.134896755218506, 4.066678047180176, 5.371040344238281, 4.52651309967041, 4.922506332397461, 4.178015232086182, 3.3112564086914062, -0.18065349757671356, 8.549545288085938, 10.847981452941895]"
2455382,"Giant Eagle, Inc.",United States,"Chips, Pretzels & Snacks",GIANT EAGLE,"ENRICHED WHEAT FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), LESS THAN 2% OF: CANOLA OIL AND/OR SOYBEAN OIL, SALT, CORN SYRUP, BARLEY MALT EXTRACT, LEAVENING (CONTAINS ONE OR MORE OF: YEAST, SODIUM BICARBONATE, AMMONIUM BICARBONATE), L-CYSTEINE.",36.0,g,PRETZEL RODS,2023-01-26,0.0,80.56,0.0,389.0,0.0,0.0,2.8,4.0,,8.33,750.0,2.78,2.78,,0.0,,0.0,"[-9.727919578552246, 2.19989275932312]","[-0.4498095214366913, 13.466630935668945, 3.3600175380706787, 6.033782958984375, 1.757522463798523]","[3.6904869079589844, 7.308104991912842, 7.037452220916748, 3.1395068168640137, 3.397132158279419, 6.412901401519775, 4.1307172775268555, 7.364988327026367, 3.8820111751556396, 11.282763481140137]","[11.236285209655762, 5.748103141784668, 5.878103256225586, 6.1746625900268555, 4.5460205078125, 4.151354789733887, 4.467778205871582, 5.350379467010498, 6.283902645111084, 3.864070415496826, 5.072930812835693, 4.257357120513916, 5.887463569641113, 5.326496601104736, 4.060641765594482, 3.549915313720703, 3.818854808807373, -0.12995462119579315, 9.027056694030762, 11.023415565490723]"
