fdc_id,branded_food_category,brand_owner,market_country,description,ingredients,serving_size,serving_size_num,serving_size_unit,Energy(kcal)_zero_thres,Carbohydrate(g)_zero_thres,Total fat(g)_zero_thres,Protein(g)_zero_thres,Sodium(mg)_zero_thres,Total sugar(g)_zero_thres,Saturated fatty acids(g)_zero_thres,Cholesterol(mg)_zero_thres,Calcium(mg)_zero_thres,Fiber(g)_zero_thres,Iron(mg)_zero_thres
2716124,Snacks,Snyder's-Lance INC.,United States,CAPE COD KETTLE CHIPS TUSCAN HERB INFUSED SEASALT,"INGREDIENTS: POTATOES, VEGETABLE OIL (CANOLA, SAFFLOWER, SOYBEAN AND/OR SUNFLOWER), TUSCAN HERB SEASONING INFUSED SALT [SALT, SPICE EXTRACTS (INCLUDING OREGANO, BASIL, ROSEMARY, FENNEL, TARRAGON), BERGAMOT, GARLIC AND ONION OILS].",,,,,,,,,,,,,,
2716130,Snacks,National Food Group  Inc.,United States,Zee Zees Ranch Wheat Crackers 0.8 oz,"Whole Wheat Flour, Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine, Riboflavin, Folic Acid), Soybean Oil, Sugar, Salt, Tomato Powder, Baking Soda, Ammonium Bicarbonate, Garlic Powder, Onion Powder, Citric Acid, Buttermilk Flavor, Cream of Tartar, Sodium Acid Pyrophosphate, Dillweed, Parsley, Basil, Black Pepper, Dough Conditioner (Enzymes), Sodium Sulfate.",,,,,,,,,,,,,,
2716168,Snacks,GENERAL MILLS SALES INC.,United States,Gardetto's Aged Cheddar Snack Mix,"Ingredients: Enriched Flour (wheat flour, niacin, iron, riboflavin, thiamin mononitrate, folic acid), Vegetable Oil (canola, sunflower, soybean, high oleic soybean, palm, fractionated palm and/or palm olein), Rye Flour, Cheddar Cheese (milk, salt, enzymes, cheese cultures, annatto [color]), Corn Maltodextrin, Salt. Contains 2% or less of: Yeast, Sugar, Color (paprika extract, turmeric extract, annatto extract, caramel color), Natural Flavor, Garlic Powder, Monosodium Glutamate, Leavening (yeast, baking soda), Onion Powder, Enzymes, Corn Syrup, Disodium Phosphate, Barley Malt Extract, Rye Flour, Lactic Acid, Blue Cheese (milk, cheese cultures, salt, enzymes), Whey, Fumaric Acid, Caraway, Sodium Diacetate. Freshness Preserved by BHT. ",,,,,,,,,,,,,,
2716313,Snacks,"Conagra Brands, Inc",United States,"Angie's BOOMCHICKAPOP Real Butter Popcorn, 4.4 oz.","Popcorn, Clarified Butter, Non-GMO Sunflower Oil and/or Non-GMO Canola Oil, Sea Salt. CONTAINS: MILK.",,,,,,,,,,,,,,
2716315,Snacks,"Conagra Brands, Inc",United States,"Angie's BOOMCHICKAPOP Hot Cocoa Marshmallow Flavored Kettle Corn Popcorn, 4.5 oz.","Cane Sugar, Popcorn, Sunflower Oil, Palm Kernel Oil, Cocoa Powder, Salt, Whole Milk Powder, Nonfat Dry Milk, Soy Lecithin, Natural Flavors. CONTAINS: MILK, SOY.",,,,,,,,,,,,,,
2716298,Snacks,"Conagra Brands, Inc",United States,"Angie's BOOMCHICKAPOP Cheddar Cheese Popcorn, 4.5 oz.","Popcorn, Non-GMO Sunflower Oil and/or Non-GMO Canola Oil, Cheese Seasoning (Whey, Cheddar Cheese [Pasteurized Milk, Salt, Cheese Cultures, Enzymes], Buttermilk, Salt, Cultured Whole Milk, Nonfat Dry Milk, Paprika Extract [for color], Lactic Acid, Natural Flavor). CONTAINS: MILK.",,,,,,,,,,,,,,
2716299,Snacks,"Conagra Brands, Inc",United States,"Angie's BOOMCHICKAPOP Sweet & Salty Kettle Corn Popcorn, 2.25 oz.","Popcorn, Non-GMO Sunflower Oil and/or Non-GMO Canola Oil, CaneSugar,Sea Salt.",,,,,,,,,,,,,,
2716300,Snacks,"Conagra Brands, Inc",United States,"Angie's BOOMCHICKAPOP White Cheddar Popcorn, 4.5 oz.","Popcorn, Non-GMO Sunflower Oil and/or Non-GMO Canola Oil, Whey, Buttermilk, Cheddar Cheese Powder (Cultured Milk, Salt, Enzymes), Salt, Natural Flavor, Milk, Lactic Acid. CONTAINS: MILK.",,,,,,,,,,,,,,
2716366,Snacks,GENERAL MILLS SALES INC.,United States,Chex Mix Cookies & Cream Muddy Buddies,"Degermed Yellow Corn Meal, Sugar, Palm and/or Palm Kernel Oil, Dextrose, Cocoa Powder, Modified Food Starch. Contains 2% or less of: Salt, Color Added, Soy Lecithin, Maltodextrin, Milk Powder, Distilled Monoglycerides, Baking Soda, Natural and Artificial Flavor, Yellow Corn Flour, Freshness Preserved by Calcium Propionate.",,,,,,,,,,,,,,
2716369,Snacks,GENERAL MILLS SALES INC.,United States,Betty Crocker Gabby Dollhouse Fruit Snacks 10 Count,"Corn Syrup, Sugar, Modified Corn Starch, Apple Juice Concentrate. Contains 2% or less of: Citric Acid, Sodium Citrate, Fruit Pectin, Malic Acid, Vitamin C (ascorbic acid), Sunflower and/or Canola Oil, Color (vegetable juice, spirulina extract, turmeric extract, fruit juice, annatto extract), Natural Flavor, Carnauba Wax.Adds A Trivial Amount Of Fat",,,,,,,,,,,,,,
